MAINCL,weighted_mean_log_EUI
7.0,5.691623865862411
14.0,5.156541158012662
10.0,4.345184114632078
8.0,4.30652184597029
3.0,4.260347915876416
16.0,4.214104323247449
2.0,4.110158906508289
1.0,3.814090204764062
6.0,3.67886831037727
4.0,3.6769192711532765
5.0,3.640988436056094
0.0,2.9220529805543487
12.0,1.7101637043333837
