specification,beta_on_ln_EUI,alpha_on_ln_MFBTU,identity_alpha_minus_1,pct_EUI_change_per_doubling
Marginal (ln_SQFT alone),-0.0072,0.9928,-0.0072,-0.5
Conditional (full RQ1 matrix),-0.1391,0.8609,-0.1391,-9.19
