NFLOOR,weighted_mean_log_EUI
9,4.35988659006614
994,4.355819989814353
8,4.335082964238765
995,4.331675677095652
6,4.290747364855787
5,4.201074882305357
7,4.1670061528528155
4,4.0943108488979325
3,4.002454974727608
2,3.802909906918381
1,3.731657111816991
