RFCNS,weighted_mean_log_EUI
6,4.177602864501621
3,4.076155720935386
7,4.036360867638008
2,4.002608117467769
1,3.9885380844703264
4,3.827895310645151
8,3.747226732745026
5,3.409850587449007
