comparison,mean_diff_RMSE,SD_diff,t_corrected,p_corrected,t_naive,p_naive,df,favours,significant_at_05
OLS vs Random Forest,-0.02476956651781756,0.009902470098137151,-4.645682145424204,0.00010223749835742982,-12.506761581879053,5.283530633612741e-12,24,OLS,True
OLS vs XGBoost,0.010522957606776951,0.011524479502707847,1.6958644127724265,0.10284751132493164,4.565480638107962,0.00012537913849342707,24,XGBoost,False
Random Forest vs XGBoost,0.035292524124594514,0.010896937570098318,6.015238939676602,3.282029432106704e-06,16.193781003866064,2.0258561086178684e-14,24,XGBoost,True
