WLCNS,weighted_mean_log_EUI
6,4.511758307830282
7,4.274654902799767
1,4.006858623978773
3,3.9072054795830944
8,3.8211123886641043
4,3.748933000808787
2,3.742286529097361
5,3.1873351366205793
