PBA,weighted_mean_log_EUI
15,5.3887191951880355
6,5.331192348405244
16,5.165710418808642
17,4.728781043354258
11,4.7030376978043655
23,4.683158062361673
4,4.443641406064977
18,4.282796538864681
7,4.23807060299477
8,4.073417261533294
2,3.949512479131295
14,3.8479336893877276
13,3.793572530694593
25,3.7372594953173732
91,3.7031740492827163
24,3.566553059308192
26,3.5160564197259645
12,3.369590682970763
5,2.9013010941445363
1,2.3983571465149387
