YRCONC,weighted_mean_log_EUI
8,3.88223732532149
4,3.8809221773122586
2,3.839077250651303
6,3.7763355236034104
9,3.770222218314798
3,3.7235732084548085
5,3.7128061909375907
7,3.612244347580741
